"ID","Title","Attachments","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On","is_converted"
"C47","Поиск товара по названию","","Polina Rykhlova","8/4/2026 8:02 PM","10800s","10800s","Medium","​","Поиск","0","","Master","S6","Functional","Polina Rykhlova","8/4/2026 8:11 PM","1"
"C48","Поиск товара по категории","","Polina Rykhlova","8/4/2026 8:10 PM","10800s","10800s","Medium","","Поиск","0","","Master","S6","Functional","Polina Rykhlova","8/4/2026 8:10 PM","1"
"C50","Добавление доступного товара в корзину","","Polina Rykhlova","8/4/2026 8:31 PM","57600s","","Critical","","Корзина","1","","Master","S6","Functional","Polina Rykhlova","8/5/2026 10:16 PM","1"
"C51","Добавление недоступного товара в корзину","","Polina Rykhlova","8/4/2026 8:47 PM","21600s","","Critical","","Корзина","1","","Master","S6","Functional","Polina Rykhlova","8/5/2026 10:15 PM","1"
"C52","Добавление максимально разрешенного числа товара в корзину","","Polina Rykhlova","8/4/2026 9:30 PM","28800s","","High","","Корзина","1","","Master","S6","Functional","Polina Rykhlova","8/5/2026 10:20 PM","1"
"C53","Удаление товара из корзины","","Polina Rykhlova","8/5/2026 6:51 AM","28800s","","Critical","","Корзина","1","","Master","S6","Functional","Polina Rykhlova","8/5/2026 10:21 PM","1"
"C54","Ввод промокода строчными буквами","","Polina Rykhlova","8/5/2026 8:25 PM","10800s","","Critical","","Промокод","1","","Master","S6","Functional","Polina Rykhlova","8/5/2026 10:20 PM","1"
"C55","Ввод промокода заглавными буквами","","Polina Rykhlova","8/5/2026 8:40 PM","10800s","","Critical","​","Промокод","1","","Master","S6","Functional","Polina Rykhlova","8/5/2026 10:20 PM","1"
"C56","Ввод промокода с пробелом в начале и конце","","Polina Rykhlova","8/5/2026 8:51 PM","","","High","","Промокод","1","","Master","S6","Functional","Polina Rykhlova","8/5/2026 8:56 PM","1"
"C57","Ввод несуществующего промокода","","Polina Rykhlova","8/5/2026 8:59 PM","7200s","","Critical","","Промокод","1","","Master","S6","Functional","Polina Rykhlova","8/5/2026 9:59 PM","1"
"C58","Создание заказа с непустой корзиной и всеми заполненными полями","","Polina Rykhlova","8/5/2026 9:11 PM","115200s","","Critical","","Создание заказа","1","","Master","S6","Functional","Polina Rykhlova","8/5/2026 10:11 PM","1"
"C59","Создание заказа с пустой корзиной и всеми заполненными полями","","Polina Rykhlova","8/5/2026 9:46 PM","86400s","","Critical","","Создание заказа","1","","Master","S6","Functional","Polina Rykhlova","8/5/2026 9:58 PM","1"
"C60","Создание заказа с непустой корзиной и всеми незаполненными полями","","Polina Rykhlova","8/5/2026 10:00 PM","57600s","","Critical","","Создание заказа","1","","Master","S6","Functional","Polina Rykhlova","8/5/2026 10:10 PM","1"
